Date,External_Influence,Marketing,AR/other
20.01.2020,94.0,0.0,6.0
27.01.2020,94.0,0.0,6.0
03.02.2020,94.0,0.0,6.0
10.02.2020,94.0,0.45,5.55
17.02.2020,94.0,0.0,6.0
24.02.2020,94.0,0.0,6.0
02.03.2020,94.0,0.0,6.0
09.03.2020,94.0,0.0,6.0
16.03.2020,94.0,5.8,0.2
23.03.2020,94.0,0.0,6.0
30.03.2020,94.0,0.0,6.0
06.04.2020,94.0,0.0,6.0
13.04.2020,94.0,4.0,2.0
20.04.2020,94.0,0.0,6.0
27.04.2020,94.0,0.0,6.0
04.05.2020,94.0,0.0,6.0
11.05.2020,94.0,0.0,6.0
18.05.2020,94.0,0.0,6.0
25.05.2020,94.0,5.11,0.89
01.06.2020,94.0,0.0,6.0
08.06.2020,94.0,0.0,6.0
15.06.2020,94.0,5.99,0.01
22.06.2020,94.0,0.0,6.0
29.06.2020,94.0,0.0,6.0
06.07.2020,94.0,0.0,6.0
13.07.2020,94.0,4.78,1.22
20.07.2020,94.0,0.0,6.0
27.07.2020,94.0,4.14,1.86
03.08.2020,94.0,0.0,6.0
10.08.2020,94.0,0.0,6.0
17.08.2020,94.0,0.0,6.0
24.08.2020,29.45,11.32,59.23
31.08.2020,78.46,0.0,21.54
07.09.2020,88.94,0.0,11.06
14.09.2020,94.0,0.0,6.0
21.09.2020,87.04,10.45,2.51
28.09.2020,83.75,15.15,1.1
05.10.2020,70.83,23.26,5.92
12.10.2020,79.24,0.0,20.76
19.10.2020,94.0,0.0,6.0
26.10.2020,94.0,0.0,6.0
02.11.2020,94.0,0.0,6.0
09.11.2020,94.0,0.0,6.0
16.11.2020,94.0,5.6,0.4
23.11.2020,83.03,13.28,3.69
30.11.2020,79.88,18.87,1.25
07.12.2020,94.0,0.0,6.0
14.12.2020,94.0,0.0,6.0
21.12.2020,94.0,5.87,0.13
28.12.2020,94.0,0.0,6.0
04.01.2021,94.0,0.0,6.0
11.01.2021,94.0,4.77,1.23
18.01.2021,94.0,5.95,0.05
25.01.2021,91.47,7.47,1.06
01.02.2021,94.0,0.0,6.0
08.02.2021,94.0,5.26,0.74
15.02.2021,84.27,12.62,3.11
22.02.2021,80.85,17.46,1.68
01.03.2021,46.94,32.13,20.93
08.03.2021,52.63,42.9,4.47
15.03.2021,70.95,0.0,29.05
22.03.2021,90.21,0.0,9.79
29.03.2021,77.06,19.11,3.83
05.04.2021,77.88,20.5,1.62
12.04.2021,85.77,14.19,0.04
19.04.2021,78.79,19.02,2.2
26.04.2021,60.86,27.12,12.02
03.05.2021,73.71,0.0,26.29
10.05.2021,94.0,0.0,6.0
17.05.2021,94.0,4.62,1.38
24.05.2021,50.4,25.25,24.35
31.05.2021,37.85,40.06,22.09
07.06.2021,20.65,34.43,44.92
14.06.2021,19.18,56.77,24.05
21.06.2021,30.55,0.0,69.45
28.06.2021,29.37,53.0,17.63
05.07.2021,41.98,0.0,58.02
12.07.2021,44.8,50.2,5.0
19.07.2021,33.87,39.11,27.02
26.07.2021,49.61,0.0,50.39
02.08.2021,44.8,39.35,15.85
09.08.2021,47.6,44.7,7.71
16.08.2021,36.62,42.53,20.85
23.08.2021,21.84,39.51,38.65
30.08.2021,33.28,62.92,3.8
06.09.2021,45.32,0.0,54.68
13.09.2021,55.4,37.59,7.02
20.09.2021,69.56,26.5,3.94
27.09.2021,79.25,0.0,20.75
04.10.2021,88.28,0.0,11.72
11.10.2021,73.18,23.04,3.78
18.10.2021,94.0,0.0,6.0
25.10.2021,94.0,0.0,6.0
01.11.2021,94.0,3.54,2.46
08.11.2021,31.76,18.55,49.69
15.11.2021,61.85,0.0,38.15
22.11.2021,94.0,0.0,6.0
29.11.2021,94.0,4.82,1.18
06.12.2021,74.99,20.64,4.37
13.12.2021,92.45,7.29,0.26
20.12.2021,94.0,0.0,6.0
27.12.2021,94.0,0.0,6.0
03.01.2022,94.0,0.0,6.0
10.01.2022,94.0,0.0,6.0
17.01.2022,94.0,0.0,6.0
24.01.2022,94.0,0.0,6.0
31.01.2022,75.59,19.72,4.69
07.02.2022,79.29,18.85,1.87
14.02.2022,94.0,0.0,6.0
21.02.2022,94.0,0.0,6.0
28.02.2022,71.04,22.04,6.93
07.03.2022,48.9,40.01,11.09
14.03.2022,61.04,35.91,3.05
21.03.2022,54.14,37.94,7.92
28.03.2022,77.69,0.0,22.31
04.04.2022,69.32,22.55,8.13
11.04.2022,74.3,22.08,3.62
18.04.2022,70.63,22.36,7.01
25.04.2022,48.98,24.46,26.56
02.05.2022,55.17,39.43,5.4
09.05.2022,94.0,0.0,6.0
16.05.2022,94.0,4.4,1.6
23.05.2022,91.04,0.0,8.96
30.05.2022,94.0,0.0,6.0
06.06.2022,94.0,0.0,6.0
13.06.2022,94.0,0.0,6.0
20.06.2022,94.0,0.0,6.0
27.06.2022,94.0,3.36,2.64
04.07.2022,94.0,0.0,6.0
11.07.2022,94.0,0.0,6.0
18.07.2022,94.0,0.0,6.0
25.07.2022,94.0,0.0,6.0
01.08.2022,94.0,5.98,0.02
08.08.2022,94.0,0.0,6.0
15.08.2022,68.05,22.98,8.97
22.08.2022,85.23,14.52,0.25
29.08.2022,66.87,32.37,0.77
05.09.2022,93.33,6.22,0.45
12.09.2022,74.61,21.24,4.15
19.09.2022,45.57,47.27,7.16
26.09.2022,53.63,34.92,11.45
03.10.2022,36.15,61.98,1.87
10.10.2022,54.3,0.0,45.7
17.10.2022,94.0,0.0,6.0
24.10.2022,93.28,6.55,0.18
31.10.2022,94.0,0.0,6.0
07.11.2022,94.0,0.0,6.0
14.11.2022,94.0,5.19,0.81
21.11.2022,94.0,0.0,6.0
28.11.2022,94.0,0.0,6.0
05.12.2022,94.0,0.0,6.0
12.12.2022,94.0,0.0,6.0
19.12.2022,94.0,0.0,6.0
26.12.2022,94.0,0.0,6.0
02.01.2023,94.0,0.0,6.0
09.01.2023,94.0,5.79,0.21
16.01.2023,94.0,4.86,1.14
23.01.2023,71.95,26.52,1.53
30.01.2023,86.29,0.0,13.71
06.02.2023,75.54,23.17,1.29
13.02.2023,83.67,15.89,0.44
20.02.2023,58.74,33.1,8.16
27.02.2023,50.8,48.34,0.86
06.03.2023,68.0,0.0,32.0
13.03.2023,48.75,40.27,10.98
20.03.2023,37.27,36.1,26.63
27.03.2023,51.5,0.0,48.5
03.04.2023,71.11,0.0,28.89
10.04.2023,94.0,0.0,6.0
17.04.2023,94.0,0.0,6.0
24.04.2023,94.0,0.0,6.0
01.05.2023,94.0,0.0,6.0
08.05.2023,94.0,4.36,1.64
15.05.2023,94.0,5.48,0.52
22.05.2023,94.0,5.74,0.26
29.05.2023,91.58,7.43,0.99
05.06.2023,81.66,16.77,1.57
12.06.2023,44.14,28.59,27.28
19.06.2023,45.33,46.69,7.98
26.06.2023,54.83,0.0,45.17
03.07.2023,83.09,0.0,16.91
10.07.2023,77.89,18.03,4.08
17.07.2023,77.75,20.24,2.0
24.07.2023,53.92,36.45,9.62
31.07.2023,40.01,43.32,16.67
07.08.2023,41.46,49.91,8.63
14.08.2023,41.25,49.94,8.81
21.08.2023,46.46,33.36,20.18
28.08.2023,57.86,0.0,42.14
04.09.2023,55.24,39.09,5.68
11.09.2023,52.88,42.82,4.3
18.09.2023,53.15,40.4,6.45
25.09.2023,42.0,33.36,24.63
02.10.2023,33.23,42.59,24.19
09.10.2023,38.61,51.6,9.79
16.10.2023,41.29,51.75,6.97
23.10.2023,77.26,0.0,22.74
30.10.2023,94.0,0.0,6.0
